DateTime,Item_A,Item_B,Frequancy
2017-02-24,Bread,Sandwich,6
2017-01-03,Coffee,Pastry,6
2017-08-03,Coffee,Tea,6
2017-04-04,Cake,Tea,6
2017-01-30,Coffee,Pastry,6
2017-09-02,Cake,Soup,6
2017-09-02,Cake,Tea,6
2017-09-02,Soup,Tea,6
2016-10-30,Coffee,Tea,6
2016-10-30,Bread,Medialuna,6
2016-10-31,Cake,Coffee,6
2016-10-31,Coffee,Tea,6
2016-02-11,Alfajores,Coffee,6
2016-03-11,Bread,Coffee,6
2016-03-11,Bread,Pastry,6
2016-04-11,Coffee,Jam,6
2016-04-11,Alfajores,Coffee,6
2016-05-11,Coffee,Soup,6
2016-06-11,Bread,Coffee,6
2016-06-11,Coffee,"Hot chocolate",6
2016-06-11,Cake,Coffee,6
2016-06-11,Alfajores,Coffee,6
2016-06-11,Alfajores,Tea,6
2016-08-11,Coffee,Pastry,6
2016-09-11,Coffee,Medialuna,6
2016-12-11,Coffee,Medialuna,6
2016-12-11,Coffee,"Hot chocolate",6
2016-12-11,Coffee,Tea,6
2016-12-11,Brownie,Muffin,6
2016-12-11,Bread,Muffin,6
2016-11-13,Coffee,Tea,6
2016-11-13,Coffee,"Keeping It Local",6
2016-11-14,Bread,Coffee,6
2016-11-16,Coffee,Tea,6
2016-11-18,Coffee,Medialuna,6
2016-11-21,Coffee,"Keeping It Local",6
2016-11-26,Bread,Medialuna,6
2016-11-26,Coffee,Muffin,6
2016-11-27,Coffee,"Hearty & Seasonal",6
2016-01-12,Bread,Pastry,6
2016-01-12,Coffee,Pastry,6
2016-02-12,Coffee,Pastry,6
2016-02-12,Coffee,Medialuna,6
2016-04-12,Cake,Coffee,6
2016-09-12,Bread,Coffee,6
2016-10-12,Bread,Coffee,6
2016-12-12,Cake,Coffee,6
2016-12-12,Bread,Coffee,6
2016-12-14,Coffee,Tea,6
2016-12-17,Coffee,Medialuna,6
2016-12-18,Coffee,Medialuna,6
2016-12-20,Cake,Coffee,6
2016-12-22,Coffee,Pastry,6
2016-12-22,Bread,Pastry,6
2016-12-22,Cake,Coffee,6
2016-12-23,Coffee,Scone,6
2016-12-24,Cake,Coffee,6
2016-12-28,Cake,Coffee,6
2016-12-28,Coffee,"Hot chocolate",6
2016-12-29,Bread,Juice,6
2017-03-01,Coffee,"Vegan mincepie",6
2017-06-01,Coffee,Toast,6
2017-06-01,Coffee,Medialuna,6
2017-07-01,Coffee,"Jammie Dodgers",6
2017-07-01,Bread,Tea,6
2017-07-01,Coffee,Sandwich,6
2017-01-14,Bread,Tea,6
2017-01-15,Cake,Coffee,6
2017-01-21,Coffee,Tiffin,6
2017-01-24,Bread,Coffee,6
2017-01-26,Coffee,Tea,6
2017-01-29,Bread,Pastry,6
2017-02-02,Coffee,Juice,6
2017-09-02,Bread,Coffee,6
2017-10-02,Bread,Coffee,6
2017-02-13,Coffee,Sandwich,6
2017-02-19,Coffee,Medialuna,6
2017-02-19,Coffee,"Spanish Brunch",6
2017-02-22,Cake,Coffee,6
2017-02-26,Cookies,Sandwich,6
2017-02-28,Bread,Coffee,6
2017-02-03,Cake,Coffee,6
2017-04-03,Coffee,"Hot chocolate",6
2017-04-03,Bread,Cake,6
2017-07-03,Coffee,Soup,6
2017-12-03,Coffee,Cookies,6
2017-03-18,Coffee,Tea,6
2017-03-18,Coffee,Scone,6
2017-03-22,Bread,Coffee,6
2017-03-25,Coffee,Muffin,6
2017-03-29,Coffee,Tea,6
2017-03-30,Coffee,Sandwich,6
2017-03-31,Coffee,Sandwich,6
2017-02-04,Bread,Coffee,6
2017-02-04,Coffee,Sandwich,6
2016-10-30,Coffee,"Hearty & Seasonal",5
2016-10-31,Coffee,Medialuna,5
2016-10-31,Coffee,Jam,5
2016-10-31,Coffee,Juice,5
2016-10-31,Coffee,Cookies,5
2016-01-11,Coffee,Soup,5
2016-03-11,Coffee,Sandwich,5
2016-04-11,Bread,Jam,5
2016-05-11,Coffee,Jam,5
2016-05-11,Brownie,Tea,5
2016-05-11,Coffee,"Hearty & Seasonal",5
2016-05-11,Cake,Tea,5
2016-06-11,Bread,Pastry,5
2016-06-11,Coffee,Medialuna,5
2016-06-11,Coffee,Tea,5
2016-06-11,Coffee,Tartine,5
2016-07-11,Coffee,Pastry,5
2016-07-11,Bread,Medialuna,5
2016-07-11,Bread,Coffee,5
2016-07-11,Coffee,Tea,5
2016-08-11,Coffee,Medialuna,5
2016-10-11,Coffee,Pastry,5
2016-10-11,Alfajores,Coffee,5
2016-11-11,Coffee,Pastry,5
2016-11-11,Coffee,Medialuna,5
2016-11-11,Bread,Coffee,5
2016-11-11,Alfajores,Coffee,5
2016-12-11,Coffee,Truffles,5
2016-12-11,Coffee,Soup,5
2016-11-14,Bread,Sandwich,5
2016-11-15,Coffee,Pastry,5
2016-11-15,Coffee,"Hearty & Seasonal",5
2016-11-16,Soup,Tea,5
2016-11-17,Alfajores,"Hearty & Seasonal",5
2016-11-18,Coffee,Tea,5
2016-11-18,Coffee,Pastry,5
2016-11-18,Bread,Soup,5
2016-11-19,Bread,Pastry,5
2016-11-19,Coffee,Pastry,5
2016-11-19,Bread,Tea,5
2016-11-19,Coffee,Muffin,5
2016-11-20,Cake,"Hot chocolate",5
2016-11-20,Coffee,Medialuna,5
2016-11-23,Coffee,Medialuna,5
2016-11-24,Cake,Tea,5
2016-11-24,Bread,Coffee,5
2016-11-24,Cake,Coffee,5
2016-11-25,Coffee,Medialuna,5
2016-11-27,Bakewell,Coffee,5
2016-11-27,Coffee,Tea,5
2016-11-28,Bread,Coffee,5
2016-11-28,Coffee,Medialuna,5
2016-11-29,Coffee,Muffin,5
2016-11-30,Coffee,"Keeping It Local",5
2016-03-12,Coffee,"Hot chocolate",5
2016-03-12,Bread,Tea,5
2016-05-12,Alfajores,Coffee,5
2016-05-12,Coffee,Cookies,5
2016-06-12,Bread,Coffee,5
2016-07-12,Coffee,Sandwich,5
2016-09-12,Coffee,Medialuna,5
2016-10-12,Bread,Scone,5
2016-10-12,Coffee,Pastry,5
2016-10-12,Coffee,Sandwich,5
2016-12-13,Fudge,Jam,5
2016-12-14,Bread,Coffee,5
2016-12-16,Coffee,Toast,5
2016-12-16,Coffee,Tea,5
2016-12-16,Alfajores,Coffee,5
2016-12-17,Coffee,Pastry,5
2016-12-17,Coffee,"Vegan mincepie",5
2016-12-18,Brownie,Coffee,5
2016-12-19,Coffee,Medialuna,5
2016-12-23,Bread,Coffee,5
2016-12-29,Bread,"Hot chocolate",5
2016-12-29,Coffee,"Hot chocolate",5
2016-12-29,Coffee,Medialuna,5
2016-12-29,Coffee,Smoothies,5
2016-12-30,Coffee,"Jammie Dodgers",5
2016-12-31,Sandwich,Tea,5
2017-07-01,Coffee,Pastry,5
2017-07-01,Coffee,Tea,5
2017-08-01,Coffee,"Hot chocolate",5
2017-01-13,Bread,Coffee,5
2017-01-13,Coffee,Pastry,5
2017-01-14,Tea,Tiffin,5
2017-01-15,Coffee,Pastry,5
2017-01-17,Coffee,Sandwich,5
2017-01-21,Brownie,Coffee,5
2017-01-22,Alfajores,Coffee,5
2017-01-27,Bread,Cookies,5
2017-01-28,Bakewell,Coffee,5
2017-01-29,Coffee,Sandwich,5
2017-02-02,Cake,Coffee,5
2017-03-02,Alfajores,Coffee,5
2017-03-02,Coffee,Toast,5
2017-04-02,Bread,Pastry,5
2017-04-02,Coffee,"Hot chocolate",5
2017-08-02,Coffee,Pastry,5
2017-02-13,Sandwich,Tea,5
2017-02-17,Coffee,Medialuna,5
2017-02-17,Bread,Brownie,5
2017-02-17,Scone,Tea,5
2017-02-18,"Chicken Stew",Coffee,5
2017-02-23,Coffee,Muffin,5
2017-02-23,Coffee,Tiffin,5
2017-02-24,Coffee,Cookies,5
2017-02-26,Cake,Scone,5
2017-02-26,Bread,Coffee,5
2017-01-03,Cake,Tea,5
2017-04-03,Cake,Coffee,5
2017-04-03,Cake,"Hot chocolate",5
2017-05-03,Coffee,Tea,5
2017-09-03,Bread,Coffee,5
2017-03-13,Coffee,Sandwich,5
2017-03-19,Coffee,Tiffin,5
2017-03-19,Bread,Coffee,5
2017-03-22,Coffee,Tea,5
2017-03-25,Coffee,Pastry,5
2017-03-26,Coffee,"Spanish Brunch",5
2017-03-26,Coffee,Tea,5
2017-03-28,Coffee,Pastry,5
2017-03-29,Cake,Coffee,5
2017-03-30,Sandwich,Tea,5
2017-03-30,Coffee,Tea,5
2017-03-31,Coffee,Medialuna,5
2017-07-04,Bread,Coffee,5
2017-07-04,Coffee,Toast,5
2017-08-04,Coffee,Sandwich,5
